Structure,Substructure,Makespan,Final_Solve,Total_Solve,Obj,Num
39,1,8,0.302,7.538,14,3
39,2,6,0.076,2.139,6,2
39,3,7,0.148,5.358,7,2
39,4,9,0.488,21.003,17,3
39,5,7,0.162,4.810,7,2
39,6,9,0.534,20.619,15,3
39,7,7,0.154,5.004,7,2
39,8,7,0.156,13.967,7,2
39,9,7,0.143,13.962,9,3
39,10,5,0.027,0.858,2,1
39,11,8,0.221,8.657,12,3
40,0,6,0.093,2.262,14,5
40,1,8,0.333,7.961,12,3
40,2,8,0.332,8.905,16,3
40,3,8,0.337,8.182,16,4
40,4,7,0.180,13.981,9,3
40,5,6,0.084,2.274,6,2
40,6,7,0.165,4.944,11,3
40,7,7,0.156,4.550,7,2
40,8,6,0.084,2.261,6,2
40,9,6,0.057,2.160,4,1
40,10,6,0.074,2.117,6,2
40,11,5,0.029,0.856,2,1
40,12,5,0.025,0.829,4,2
41,0,7,0.186,13.986,11,3
41,1,8,0.367,7.495,24,5
41,2,6,0.084,2.205,6,2
41,3,6,0.074,2.082,14,5
41,4,8,0.276,6.995,12,3
41,5,6,0.072,2.061,6,2
41,6,7,0.127,4.397,7,2
41,7,6,0.063,2.098,6,2
41,8,5,0.023,0.774,2,1
41,9,5,0.024,0.765,2,1
41,10,8,0.203,7.512,10,3
42,0,8,0.459,8.254,14,4
42,1,6,0.148,3.568,10,3
42,2,7,0.153,5.598,7,2
42,3,6,0.085,2.605,14,5
42,4,8,0.404,10.359,12,3
42,5,8,0.290,9.479,12,2
42,6,7,0.275,5.840,7,2
42,7,8,0.482,9.602,10,2
42,8,6,0.164,3.063,8,3
42,9,8,0.395,9.720,16,4
42,10,7,0.160,6.464,11,4
43,0,7,0.313,5.136,22,5
43,1,8,0.300,11.273,16,4
43,2,6,0.168,2.555,8,3
43,3,9,0.907,26.702,15,3
43,4,7,0.160,4.670,11,3
43,5,6,0.079,2.211,6,2
43,6,6,0.087,2.136,8,3
43,7,7,0.286,7.015,7,2
43,8,6,0.172,3.423,6,2
43,9,5,0.063,1.272,2,1
43,10,5,0.061,1.385,2,1
43,11,5,0.070,1.307,2,1
43,12,5,0.058,1.261,4,2
44,0,6,0.089,3.271,14,5
44,1,7,0.371,8.272,7,2
44,2,6,0.144,2.612,14,5
44,3,8,0.294,11.731,15,3
44,4,6,0.054,2.122,4,1
44,5,7,0.145,4.731,7,2
44,6,7,0.150,14.994,9,3
44,7,6,0.071,2.136,4,1
44,8,6,0.061,2.088,10,4
45,0,6,0.164,3.225,14,5
45,1,6,0.149,3.254,6,2
45,2,9,0.509,11.660,26,5
45,3,7,0.294,6.913,7,2
45,4,7,0.154,4.939,7,2
45,5,7,0.155,13.793,7,2
45,6,7,0.190,14.064,9,3
45,7,5,0.025,0.873,2,1
45,8,5,0.027,0.828,2,1
45,9,5,0.027,0.830,2,1
45,10,5,0.028,0.852,2,1
45,11,5,0.028,0.835,6,3
46,0,7,0.214,14.266,9,3
46,1,8,0.320,7.197,14,4
46,2,6,0.077,2.110,8,3
46,3,8,0.309,10.105,16,3
46,4,7,0.156,4.679,7,2
46,5,8,0.296,7.062,16,4
46,6,9,0.526,20.337,11,2
46,7,7,0.175,14.197,7,2
46,8,7,0.152,14.030,9,3
46,9,6,0.061,2.165,6,2
46,10,8,0.228,7.872,16,5
47,0,7,0.201,14.090,9,3
47,1,8,0.365,7.788,22,5
47,2,6,0.093,2.365,10,4
47,3,8,0.318,8.336,14,4
47,4,8,0.314,7.987,12,3
47,5,7,0.153,4.356,15,4
47,6,7,0.165,4.298,8,2
47,7,6,0.080,2.437,6,2
47,8,6,0.085,2.345,8,3
47,9,5,0.029,0.867,4,2
48,0,8,0.350,7.816,14,4
48,1,7,0.198,4.351,15,4
48,2,7,0.184,4.224,14,3
48,3,6,0.094,2.377,8,3
48,4,6,0.100,2.399,4,1
48,5,5,0.031,0.908,2,1
48,6,5,0.028,0.883,2,1
48,7,8,0.310,8.700,6,1
48,8,5,0.028,0.874,2,1
49,0,7,0.198,14.032,9,3
49,1,7,0.182,5.053,11,3
49,2,6,0.086,2.313,12,4
49,3,7,0.183,4.917,7,2
49,4,9,0.592,20.544,17,3
49,5,7,0.173,14.057,9,3
49,6,9,0.459,21.382,11,2
49,7,7,0.144,4.676,11,3
49,8,6,0.061,2.027,8,3
49,9,5,0.024,0.806,2,1
49,10,5,0.022,0.803,6,3
50,0,8,0.314,7.026,14,4
50,1,6,0.080,2.123,8,3
50,2,6,0.095,2.168,10,4
50,3,8,0.292,7.209,12,3
50,4,6,0.089,2.285,12,4
50,5,7,0.227,5.055,11,3
50,6,6,0.175,3.362,6,2
50,7,6,0.072,2.944,4,1
50,8,8,0.185,8.368,14,5
51,0,6,0.094,2.389,12,4
51,1,7,0.328,6.114,7,2
51,2,7,0.169,4.713,11,3
