Structure,Substructure,Makespan,Final_Solve,Total_Solve,Obj,Num
72,4,6,0.192,4.995,14,5
72,5,6,0.197,5.067,8,3
72,6,6,0.128,4.043,4,1
72,7,8,0.361,11.873,6,1
72,8,5,0.029,1.145,6,3
73,0,6,0.185,2.553,12,4
73,1,7,0.477,17.271,9,3
73,2,7,0.502,11.925,11,3
73,3,7,0.236,8.925,11,3
73,4,8,0.922,11.347,12,3
73,5,7,0.231,16.839,11,3
73,6,6,0.117,2.849,6,2
73,7,7,0.300,15.554,19,6
74,0,7,0.576,17.845,9,3
74,1,6,0.311,5.010,8,3
74,2,7,0.207,6.590,8,2
74,3,6,0.057,2.100,4,1
74,4,6,0.090,2.248,4,1
74,5,5,0.036,0.956,2,1
74,6,5,0.036,0.910,6,3
75,0,8,0.334,7.670,16,5
75,1,8,0.382,9.895,16,4
75,2,8,0.324,8.870,10,2
75,3,8,0.477,8.746,16,3
75,4,8,0.320,8.148,16,4
75,5,6,0.124,2.519,8,3
75,6,7,0.153,14.589,11,3
75,7,7,0.163,5.426,7,2
75,8,7,0.122,4.575,7,2
75,9,5,0.025,0.801,2,1
75,10,5,0.025,0.777,2,1
75,11,8,0.296,10.355,8,2
76,0,6,0.082,2.701,14,5
76,1,7,0.166,5.391,7,2
76,2,6,0.083,2.214,8,3
76,3,6,0.075,2.199,8,2
76,4,9,0.484,11.589,20,4
76,5,6,0.073,2.184,8,3
76,6,7,0.149,4.689,11,3
76,7,7,0.142,4.498,7,2
76,8,6,0.058,2.123,4,1
76,9,7,0.129,4.744,7,2
76,10,5,0.023,0.783,2,1
76,11,5,0.023,0.786,2,1
76,12,5,0.028,0.791,2,1
76,13,5,0.024,0.774,4,2
77,0,7,0.171,13.722,11,3
77,1,8,0.348,9.340,12,3
77,2,8,0.357,8.078,12,3
77,3,7,0.171,4.741,7,2
77,4,9,0.501,16.373,12,2
77,5,8,0.285,8.550,16,4
77,6,8,0.299,7.403,14,3
77,7,9,0.448,20.760,16,3
77,8,6,0.067,2.408,8,3
77,9,7,0.149,4.631,7,2
77,10,7,0.135,4.673,11,3
77,11,7,0.131,13.771,9,2
77,12,6,0.060,2.051,6,2
77,13,6,0.057,2.095,4,1
77,14,6,0.051,2.091,6,2
78,0,6,0.083,2.147,12,4
78,1,7,0.161,5.205,15,4
78,2,7,0.165,4.908,11,3
78,3,7,0.169,13.781,13,4
78,4,6,0.084,2.108,6,2
78,5,6,0.079,2.060,8,3
78,6,8,0.266,8.556,10,2
78,7,7,0.144,4.657,7,2
78,8,6,0.075,2.220,6,2
78,9,7,0.146,4.684,7,2
78,10,7,0.129,4.514,7,2
78,11,8,0.236,7.218,12,3
78,12,5,0.023,0.802,2,1
78,13,5,0.023,0.779,10,5
79,0,7,0.185,13.823,9,3
79,1,8,0.312,7.182,14,4
79,2,6,0.077,2.274,10,3
79,3,7,0.159,4.650,11,3
79,4,8,0.304,7.671,12,2
79,5,7,0.146,4.810,11,3
79,6,6,0.070,2.154,6,2
79,7,8,0.283,8.503,16,3
79,8,6,0.071,2.159,8,2
79,9,7,0.134,4.505,7,2
79,10,7,0.129,3.899,14,3
79,11,6,0.069,2.103,6,2
79,12,6,0.064,2.148,8,3
79,13,6,0.049,2.050,4,1
79,14,7,0.123,5.110,9,3
80,0,7,0.166,13.759,11,3
80,1,8,0.304,7.277,14,3
80,2,6,0.076,2.159,10,3
80,3,9,0.508,21.123,13,3
80,4,8,0.299,8.997,10,2
80,5,8,0.309,7.817,12,2
80,6,7,0.141,4.709,11,3
80,7,6,0.072,2.145,6,2
80,8,7,0.131,4.528,7,2
80,9,8,0.232,7.528,10,2
80,10,8,0.230,8.086,6,1
80,11,6,0.049,2.098,4,1
80,12,7,0.122,4.501,7,2
80,13,6,0.064,2.093,6,2
80,14,7,0.099,13.537,9,3
80,15,5,0.023,0.789,4,2
81,0,7,0.176,13.800,9,3
81,1,7,0.164,3.996,16,4
81,2,8,0.323,7.391,12,3
81,3,6,0.079,2.153,10,4
81,4,7,0.148,13.651,9,3
81,5,8,0.259,7.841,10,2
81,6,9,0.473,22.906,16,3
81,7,6,0.079,2.234,8,2
81,8,6,0.083,2.190,6,2
81,9,7,0.156,4.567,7,2
81,10,7,0.148,13.774,9,2
81,11,6,0.074,2.153,6,2
81,12,5,0.023,0.780,2,1
81,13,5,0.022,0.771,2,1
82,0,8,0.322,7.130,14,4
82,1,6,0.085,2.162,8,3
